n	A vista or point that gives a beautiful view. 
v	To offer a view (of something) from a higher position. 
v	To fail to notice; to look over and beyond (anything) without seeing it. 
v	To pretend not to have noticed (something, especially a mistake or flaw); to pass over (something) without censure or punishment. 
v	(dated) To look down upon (something) from a place that is over or above. 
v	(archaic) To supervise, oversee; to watch over. 
v	(archaic) To observe or watch (someone or something) surreptitiously or secretly. 
v	(archaic) To inspect (something); to examine; to look over carefully or repeatedly. 
v	(archaic) To look upon with an evil eye; to bewitch by looking upon; to fascinate. 
