n	A strong desire; an itch to do something. 
v	(transitive) To press; to push; to drive; to impel; to force onward. 
v	(transitive) To put mental pressure on; to ply with motives, arguments, persuasion, or importunity. 
v	(transitive) To provoke; to exasperate. 
v	(transitive) To press hard upon; to follow closely. 
v	(transitive) To present in an urgent manner; to insist upon. 
v	(transitive, obsolete) To treat with forcible means; to take severe or violent measures with. 
v	(transitive) To press onward or forward. 
v	(transitive) To be pressing in argument; to insist; to persist. 
