v	(archaic) To instruct to teach. 
n	A section of learning or teaching into which a wider learning content is divided. 
n	A learning task assigned to a student; homework. 
n	Something learned or to be learned. 
n	Something that serves as a warning or encouragement. 
n	A section of the Bible or other religious text read as part of a divine service. 
n	A severe lecture; reproof; rebuke; warning. 
n	(music) An exercise; a composition serving an educational purpose; a study. 
v	To give a lesson to; to teach. 
