adj	Typical; having the same properties or interest as a larger group. 
adj	Representing, showing a likeness. 
n	Someone who represents others as a member of a legislative or governing body. 
n	One who speaks for or acts on behalf of another in a particular (especially official) capacity. 
n	(law) An heir. 
n	(US, politics) Specifically, a member of the United States House of Representatives. 
n	A company agent who visits potential purchasers; a salesman. 
n	Something representing or standing for another; a symbol, an embodiment. 
n	A member of a particular class. 
n	A substitute or analogue. 
